State (Emission order)	H3K4me1	H3K27ac	H3K9ac	H3K4me2	H3K4me3	H2AFZ	H3K79me2	H3K36me3	H3K9me3	H3K27me3
1	4.5030740667051903E-4	3.4365813473727514E-5	0.009434209195259616	1.0113800299359645E-4	1.1259928827015867E-5	0.0046357303651017225	6.6906181792085225E-6	1.7098616529177996E-5	0.0013154583639262054	0.18406666524962348
2	1.5916000301620704E-4	5.234943714892411E-4	0.005799812023286233	3.432298336473412E-10	2.2323476217776368E-10	0.005832690169966594	4.1513294469761486E-4	0.0011814849792004631	0.004096037972228499	0.0035753636555315724
3	0.00165622052701041	0.00829327078498678	0.004760617911642204	2.6684830972545115E-4	0.015332782681446791	0.01916673526240502	0.0035950832056571057	0.06679868125876191	0.5004536453078332	0.0031795629001810898
4	0.00140810706022105	0.009439972711857815	0.018770264689770444	1.1061754650116301E-4	3.253706827123938E-5	1.531847765867362E-4	0.01818124773218487	0.5950721629790099	0.005807702321757812	9.874738680175556E-5
5	0.06311970812641648	0.06601794524333414	0.04198008605990107	0.023463201118711613	0.002224096513499702	2.4293594529557676E-4	0.8189650721458954	0.8561470668694974	0.04180764265485217	1.4423037723426204E-5
6	0.03073166922046003	0.01573718021540212	0.020556948753670742	0.007246665332839088	2.962710643500987E-5	1.6043748392335485E-4	0.6720169951940699	0.05653056976010739	0.004557853871900004	1.860685481934445E-4
7	0.9062917460032744	0.34242727871716644	0.36620607232397606	0.7355117827473193	0.3557230934878787	0.0025373093385304825	0.9564957277264371	0.424934918143605	0.0050381489584237615	3.040080178227371E-4
8	0.6289177490523137	0.17458421437626973	0.06612614944590138	0.14663370440158366	0.01908645651602925	0.14074337365899095	0.008235806456634683	0.01362301532758	0.0065010337021136995	0.033167932853258975
9	0.9903588361380836	0.9755681293976751	0.5836056066797306	0.40893408905137163	0.046635451037321876	0.3095168228738923	0.05978217898503633	0.042595628937081964	0.01397687048663007	8.27081132609168E-4
10	0.6508077523859462	0.7784533764077536	0.9065494275726599	0.9869023752484407	0.9869228825708599	0.7320957408729308	0.48761178512205544	0.01184542970537135	0.0035648957342794274	0.03590319628087854
