State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9837973087946825	0.01396829990527888	2.2246429317774376E-4	0.0	0.0	0.0	0.0	0.001950433509633426	0.0	6.149349722743964E-5
2	0.0031744373471853052	0.987996986625826	0.003193006043627024	0.0014855362293595747	0.0	3.1525371256997176E-4	3.6765551428464597E-6	0.003799576826128603	7.704504161857064E-6	2.3822155998610337E-5
3	0.0021074138885887957	0.11583595503768382	0.8769454511959973	0.0021814700808624548	4.622633663853719E-4	1.4210797763910114E-4	3.7707806430645176E-8	0.001394544935485311	7.42982387200747E-4	1.8777342235081447E-4
4	0.0	0.01589249611734907	6.575235632127679E-4	0.9704055436885788	0.010845825717935055	6.192793399576077E-4	2.012925252876364E-4	0.0011165188006850989	2.5210440511736794E-4	9.415841876792487E-6
5	0.0	3.80716327821394E-8	7.667735866834103E-4	0.04875387974656458	0.8673825827743076	0.06953514598907799	0.01280272333285623	3.2610596959199907E-4	4.327505292855022E-4	0.0
6	0.0	0.008218591633635308	9.390967379720912E-5	0.0015265354336148277	0.03840851704354477	0.9311115133718461	0.01952546624606401	0.0010476537540878225	6.750480792032509E-5	3.0803548958427E-7
7	0.0	2.610950539875741E-4	4.0240760663644215E-5	0.0017212894822542252	0.022040260857662315	0.05835837423412187	0.8629596255680343	0.008611905096708464	0.0038637017347906404	0.0421435072117769
8	0.019044381313159737	0.15990968958578491	0.0020735473253175023	0.004646910789253793	3.334299560018099E-4	0.0019227088799250796	0.004542870252390226	0.714106589643112	0.05478899097229924	0.03863088128275576
9	0.0	0.0015567201979238578	0.001895155025944986	0.002365799887146491	0.0010625303967225917	5.274951244042273E-4	0.005254987927751162	0.1400869075688119	0.8160252760983194	0.031225127772975404
10	0.001034803719590632	0.0018591387269354077	4.075994269588865E-4	7.223200562906051E-5	0.0	0.0	0.039497872794745016	0.06203467754804688	0.020696879694040958	0.8743967960840531
